  1.6569121e-001  7.4634302e-001
  4.1941060e-001  9.7662091e-001
  9.3267463e-001  6.8741411e-001
  2.3570136e-001  8.8149988e-002
  1.8557494e-001  5.4426833e-001
  2.0681759e-001  6.4415836e-001
  3.8865535e-001  4.8877648e-001
  4.0978090e-001  6.8756619e-001
  3.8312170e-001  4.5989219e-002
  6.6090995e-001  4.0561182e-001
  9.1601657e-001  9.7111754e-001
  7.3481843e-001  4.8585490e-001
  6.5271032e-001  9.3567502e-001
  2.4790189e-001  9.3821620e-001
  9.4145911e-001  7.1714738e-001
  2.4960721e-001  8.8097997e-001
  9.3396466e-001  6.6788890e-001
  5.7110387e-001  6.7864485e-001
  9.5317980e-001  7.7484920e-001
  5.8571450e-001  6.0374114e-001
  7.0986018e-001  8.1270646e-002
  7.6139189e-001  4.4905058e-001
  1.4913484e-001  8.5077688e-001
  8.5469023e-002  8.5037725e-001
  1.5033352e-001  3.4817439e-001
  6.2489743e-001  2.6575157e-002
  9.8454926e-001  2.8589827e-001
  5.5958938e-001  6.3636360e-001
  4.3737404e-001  2.8913980e-001
  7.8828292e-001  8.1397455e-001
  4.1285654e-001  3.0213071e-001
  2.6913130e-001  1.3115152e-001
  9.1353379e-001  8.0084531e-002
  1.4990881e-001  3.0337759e-002
  6.3828493e-001  1.5006977e-001
  8.9898438e-001  5.8043987e-001
  6.8111243e-001  5.0267312e-001
  9.5041913e-001  4.8733714e-001
  2.1999100e-001  4.8692974e-002
  1.3925539e-001  1.0745575e-001
  1.4539231e-001  7.5195191e-001
  9.1098232e-001  6.3706184e-001
  3.9668680e-001  7.4683813e-001
  6.4891164e-001  3.9966357e-001
  1.3306002e-001  4.5151834e-001
  7.5822808e-001  3.4951883e-001
  3.7162502e-001  3.9153736e-001
  9.4118820e-001  2.6346684e-001
  3.5414093e-002  5.4768742e-001
  7.0877389e-001  7.9533182e-001
  1.3833119e-001  8.4523452e-001
  1.1559147e-002  7.4853640e-001
  5.2732251e-001  5.6590129e-001
  1.1416804e-001  4.4047025e-001
  3.3447920e-001  8.7540824e-001
  1.6012249e-001  8.0696523e-002
  2.5707939e-001  8.3971661e-001
  1.8441333e-001  7.4951949e-001
  8.5305065e-001  9.4732313e-002
  5.5115218e-001  2.8320463e-001
  9.4728214e-001  8.7376100e-001
  8.0036413e-001  3.3038881e-001
