A.C. Green ,1,23,16,1985,1986,1,3.3
A.C. Green ,1,23,16,1985,1987,2,7.6
A.C. Green ,1,23,16,1985,1988,3,7.9
A.C. Green ,1,23,16,1985,1989,4,9.4
A.C. Green ,1,23,16,1985,1990,5,7.7
A.C. Green ,1,23,16,1985,1991,6,6.1
A.C. Green ,1,23,16,1985,1992,7,8.8
A.C. Green ,1,23,16,1985,1993,8,8.6
A.C. Green ,1,23,16,1985,1994,9,9.3
A.C. Green ,1,23,16,1985,1995,10,6.7
A.C. Green ,1,23,16,1985,1996,11,4.4
A.C. Green ,1,23,16,1985,1997,12,4.8
A.C. Green ,1,23,16,1985,1998,13,5.2
A.C. Green ,1,23,16,1985,1999,14,1.4
A.C. Green ,1,23,16,1985,2000,15,5
A.C. Green ,1,23,16,1985,2001,16,3.2
A.J. Bramlett ,2,39,1,1999,2000,1,-0.2
A.J. English ,3,37,2,1990,1991,1,0.2
A.J. English ,3,37,2,1990,1992,2,0.9
A.J. Guyton ,4,32,3,2000,2001,1,0.3
A.J. Guyton ,4,32,3,2000,2002,2,0.1
A.J. Guyton ,4,32,3,2000,2003,3,-0.1
Aaron Brooks ,5,26,8,2007,2008,1,1.4
Aaron Brooks ,5,26,8,2007,2009,2,3.6
Aaron Brooks ,5,26,8,2007,2010,3,5.5
Aaron Brooks ,5,26,8,2007,2011,4,1.1
Aaron Brooks ,5,26,8,2007,2013,6,0.8
Aaron Brooks ,5,26,8,2007,2014,7,2.2
Aaron Brooks ,5,26,8,2007,2015,8,3.3
Aaron Brooks ,5,26,8,2007,2016,9,0.9
Aaron Gordon ,6,4,2,2014,2015,1,1
Aaron Gordon ,6,4,2,2014,2016,2,5.4
Aaron Gray ,7,49,7,2007,2008,1,0.8
Aaron Gray ,7,49,7,2007,2009,2,1.3
Aaron Gray ,7,49,7,2007,2010,3,0.9
Aaron Gray ,7,49,7,2007,2011,4,1.1
Aaron Gray ,7,49,7,2007,2012,5,1.4
Aaron Gray ,7,49,7,2007,2013,6,0.5
Aaron Gray ,7,49,7,2007,2014,7,0.1
Aaron McKie ,8,17,13,1994,1995,1,2
Aaron McKie ,8,17,13,1994,1996,2,5.3
Aaron McKie ,8,17,13,1994,1997,3,3.5
Aaron McKie ,8,17,13,1994,1998,4,1.4
Aaron McKie ,8,17,13,1994,1999,5,1.6
Aaron McKie ,8,17,13,1994,2000,6,4.3
Aaron McKie ,8,17,13,1994,2001,7,5.9
Aaron McKie ,8,17,13,1994,2002,8,3.9
Aaron McKie ,8,17,13,1994,2003,9,5.1
Aaron McKie ,8,17,13,1994,2004,10,4.8
Aaron McKie ,8,17,13,1994,2005,11,2
Aaron McKie ,8,17,13,1994,2006,12,0.1
Aaron McKie ,8,17,13,1994,2007,13,0.1
Acie Earl ,9,19,4,1993,1994,1,0.2
Acie Earl ,9,19,4,1993,1995,2,-0.2
Acie Earl ,9,19,4,1993,1996,3,0.3
Acie Earl ,9,19,4,1993,1997,4,0
Acie Law ,10,11,4,2007,2008,1,-0.1
Acie Law ,10,11,4,2007,2009,2,0.7
Acie Law ,10,11,4,2007,2010,3,0.6
Acie Law ,10,11,4,2007,2011,4,0.4
Adam Keefe ,11,10,9,1992,1993,1,3.3
Adam Keefe ,11,10,9,1992,1994,2,1.4
Adam Keefe ,11,10,9,1992,1995,3,4.1
Adam Keefe ,11,10,9,1992,1996,4,4.6
Adam Keefe ,11,10,9,1992,1997,5,2.3
Adam Keefe ,11,10,9,1992,1998,6,6.5
Adam Keefe ,11,10,9,1992,1999,7,1.7
Adam Keefe ,11,10,9,1992,2000,8,0.4
Adam Keefe ,11,10,9,1992,2001,9,0.6
Adam Morrison ,12,3,3,2006,2007,1,-1.5
Adam Morrison ,12,3,3,2006,2009,3,0
Adam Morrison ,12,3,3,2006,2010,4,0
Adonal Foyle ,13,8,12,1997,1998,1,-0.1
Adonal Foyle ,13,8,12,1997,1999,2,1.1
Adonal Foyle ,13,8,12,1997,2000,3,1.9
Adonal Foyle ,13,8,12,1997,2001,4,0.7
Adonal Foyle ,13,8,12,1997,2002,5,1.2
Adonal Foyle ,13,8,12,1997,2003,6,4
Adonal Foyle ,13,8,12,1997,2004,7,1.1
Adonal Foyle ,13,8,12,1997,2005,8,3.4
Adonal Foyle ,13,8,12,1997,2006,9,2.8
Adonal Foyle ,13,8,12,1997,2007,10,1
Adonal Foyle ,13,8,12,1997,2008,11,1.3
Adonal Foyle ,13,8,12,1997,2009,12,0.3
Adonis Jordan ,14,42,2,1993,1994,1,-0.1
Adonis Jordan ,14,42,2,1993,1999,6,0
Adreian Payne ,15,15,2,2014,2015,1,-0.5
Adreian Payne ,15,15,2,2014,2016,2,-0.5
Adrian Branch ,16,46,4,1985,1987,2,0.7
Adrian Branch ,16,46,4,1985,1988,3,-0.1
Adrian Branch ,16,46,4,1985,1989,4,1.5
Adrian Branch ,16,46,4,1985,1990,5,0
Al Harrington ,17,25,16,1998,1999,1,-0.2
Al Harrington ,17,25,16,1998,2000,2,1
Al Harrington ,17,25,16,1998,2001,3,1.2
Al Harrington ,17,25,16,1998,2002,4,2.6
Al Harrington ,17,25,16,1998,2003,5,3.9
Al Harrington ,17,25,16,1998,2004,6,5.9
Al Harrington ,17,25,16,1998,2005,7,1.6
Al Harrington ,17,25,16,1998,2006,8,3.8
Al Harrington ,17,25,16,1998,2007,9,4.3
Al Harrington ,17,25,16,1998,2008,10,5.4
Al Harrington ,17,25,16,1998,2009,11,3.9
Al Harrington ,17,25,16,1998,2010,12,3.5
Al Harrington ,17,25,16,1998,2011,13,2.1
Al Harrington ,17,25,16,1998,2012,14,3.2
Al Harrington ,17,25,16,1998,2013,15,0
Al Harrington ,17,25,16,1998,2014,16,0.4
Al Horford ,18,3,9,2007,2008,1,5.5
Al Horford ,18,3,9,2007,2009,2,6.8
Al Horford ,18,3,9,2007,2010,3,10.9
Al Horford ,18,3,9,2007,2011,4,10.1
Al Horford ,18,3,9,2007,2012,5,1.3
Al Horford ,18,3,9,2007,2013,6,8.8
Al Horford ,18,3,9,2007,2014,7,2.8
Al Horford ,18,3,9,2007,2015,8,8.7
Al Horford ,18,3,9,2007,2016,9,9.4
Al Jefferson ,19,15,12,2004,2005,1,2.7
Al Jefferson ,19,15,12,2004,2006,2,2.3
Al Jefferson ,19,15,12,2004,2007,3,6.6
Al Jefferson ,19,15,12,2004,2008,4,7.7
Al Jefferson ,19,15,12,2004,2009,5,4.9
Al Jefferson ,19,15,12,2004,2010,6,4.6
Al Jefferson ,19,15,12,2004,2011,7,7.8
Al Jefferson ,19,15,12,2004,2012,8,7.5
Al Jefferson ,19,15,12,2004,2013,9,7.7
Al Jefferson ,19,15,12,2004,2014,10,7.8
Al Jefferson ,19,15,12,2004,2015,11,4.7
Al Jefferson ,19,15,12,2004,2016,12,2.8
Al Thornton ,20,14,4,2007,2008,1,1.1
Al Thornton ,20,14,4,2007,2009,2,1.3
Al Thornton ,20,14,4,2007,2010,3,2.2
Al Thornton ,20,14,4,2007,2011,4,1.6
Al Wood ,21,4,6,1981,1982,1,0.9
Al Wood ,21,4,6,1981,1983,2,2.3
Al Wood ,21,4,6,1981,1984,3,4.4
Al Wood ,21,4,6,1981,1985,4,4.2
Al Wood ,21,4,6,1981,1986,5,2.5
Al Wood ,21,4,6,1981,1987,6,1
Al-Farouq Aminu ,22,8,6,2010,2011,1,0.7
Al-Farouq Aminu ,22,8,6,2010,2012,2,1.4
Al-Farouq Aminu ,22,8,6,2010,2013,3,3.1
